,cost,level_1_1,level_1_2,level_1_3,level_2_1,level_2_2,region,is_44,title_vector_0,title_vector_1,title_vector_2,title_vector_3,title_vector_4,title_vector_5,title_vector_6,title_vector_7,title_vector_8,title_vector_9,title_vector_10,title_vector_11,title_vector_12,title_vector_13,title_vector_14,title_vector_15,title_vector_16,title_vector_17,title_vector_18,title_vector_19,supplier_id
1,6710121.0,1,0,0,0,0,60,1,0.32111743,-0.31746382,0.2954548,0.16069601,-0.07252167,0.29756486,-0.09581296,-0.054981817,0.24133615,0.30656543,0.7174424,-0.304298,-0.16837694,0.104410306,0.25225964,0.15430997,-0.33158472,0.2877316,-0.6026224,-0.65295565,44
15,5395.0,0,0,1,0,1,51,1,0.07910112,0.098358564,0.11268909,0.2818528,0.17478532,-0.10702885,-0.15307085,0.43945664,-0.4424285,-0.021215089,-0.06662292,0.004997414,0.35338193,0.35662022,0.149338,-0.05806017,0.16376272,-0.13909031,-0.15276141,-0.17605348,9
22,34330.0,0,0,1,0,1,9,0,0.083967,-0.029964138,0.20354635,-0.13624787,-0.029958952,0.041180406,-0.13865374,0.3203402,-0.61691743,0.11092366,0.33713332,-0.16868052,-0.023521699,-0.110542566,0.17177735,0.0053880564,0.21179727,-0.049800415,-0.23136067,0.12762956,52
26,1200000.0,1,0,0,0,0,46,1,0.13079906,0.020342086,0.1646246,0.050553866,0.17630708,-0.33147854,0.14425936,0.26145652,-0.054978386,-0.034363642,0.23283882,-0.16225603,0.15108992,-0.11347543,0.21503317,0.2801559,0.27120426,-0.0014028042,-0.09455824,-0.17102717,5
27,1144000.0,1,0,0,0,0,45,1,-0.019896265,-0.080143966,0.019218057,0.025137976,0.06938111,-0.05126454,0.031976413,0.21673954,-0.045166552,0.03009179,0.18454887,-0.14345217,0.27066904,-0.09545211,0.19068684,0.18049607,0.24223675,0.0126815075,-0.17646101,-0.009447806,143
29,110000.0,0,0,1,0,1,37,0,-0.0314276,-0.023615902,0.27050048,0.17862853,-0.118913285,-0.18911234,0.09397781,0.0322616,-0.3640192,0.1176766,0.2173617,-0.099539675,0.15875079,-0.16028285,0.18686493,0.0023007232,0.2632919,0.11873011,-0.16371284,-0.01719002,151
31,596400.0,0,0,1,0,1,9,1,0.007305881,-0.10290135,0.27235898,-0.044493206,-0.10266232,-0.1139187,0.11552027,0.3729624,-0.2672955,0.037646458,0.16891922,-0.013436638,0.13763654,0.23040073,0.25896353,0.06504711,0.49027514,-0.15300028,-0.18827817,-0.19676086,78
35,1700699.0,1,0,0,0,0,31,1,-0.033261903,0.017549912,0.02500869,0.006474292,0.08902255,-0.10558882,0.054021716,0.265423,-0.052331556,-0.042908233,0.21619488,-0.16837935,0.260818,-0.10996762,0.21122722,0.124800555,0.2484696,-0.03699679,-0.19885917,-0.028147658,137
36,1144300.0,1,0,0,0,0,57,1,0.2081394,0.041532647,0.23425165,0.18755102,-0.28589714,0.16695027,-0.20961805,0.16497459,-0.1774831,0.13243634,0.07000984,0.1165172,0.26168332,0.0048427316,0.12465017,0.089321025,0.42193052,-0.03960812,-0.116987005,-0.273264,61
37,1459240.0,1,0,0,0,0,45,1,0.010004422,-0.016600484,-0.009543697,0.08172945,0.045020733,-0.058928207,-0.066020794,0.32658187,-0.06734718,0.0053812633,0.24247271,-0.11164469,0.2672504,-0.09807042,0.23212484,0.21462072,0.30407634,0.008110426,-0.24399672,-0.08580589,143
38,32620.0,0,0,1,0,1,24,1,0.038169373,-0.51499724,0.4918356,-0.39483956,0.5031062,-0.5893968,0.24139912,0.7241494,-0.82893056,-0.2605172,0.81634206,0.36908433,0.41572148,0.3093707,0.1528299,0.5678512,-0.6211049,-0.76721644,0.4717143,-1.214222,28
39,1800000.0,1,0,0,0,0,23,1,-0.23274824,0.09230379,0.08879777,-0.031435795,-0.1891881,-0.11768225,-0.11157035,0.33145666,-0.26385835,-0.19752924,0.5152844,-0.0693837,0.13809593,0.18754785,0.07401501,-0.14157987,0.47537294,-0.08784414,0.040106982,-0.1442975,1
